Country Name,Year,Value
US,2012,1247.4570807461253
Canada,2012,304.0199770500001
Mexico,2012,110.88905961308852
Total North America,2012,1662.3661174094252
Argentina,2012,73.82531811240001
Bolivia,2012,30.479888925000004
Brazil,2012,31.861072864980006
Colombia,2012,20.858521451369853
Peru,2012,21.504533840541
Trinidad & Tobago,2012,81.63783198807751
Venezuela,2012,52.540407
Other S. & Cent. America,2012,5.9419785144438
Total S. & Cent. America,2012,318.64955269594503
Azerbaijan,2012,28.184547489718504
Denmark,2012,12.545893038449702
Germany,2012,19.032182820000003
Italy,2012,14.742732316259701
Kazakhstan,2012,33.255264787173004
Netherlands,2012,122.19797936373303
Norway,2012,192.76042869900002
Poland,2012,8.142406491830851
Romania,2012,20.750053500000003
Russian Federation,2012,1155.511480654575
Turkmenistan,2012,113.350410684234
Ukraine,2012,35.510180177385
United Kingdom,2012,86.11163703000001
Uzbekistan,2012,108.52533963180001
Other Europe & Eurasia,2012,18.04790829037815
Total Europe & Eurasia,2012,1968.6684449744102
Bahrain,2012,25.294668252934503
Iran,2012,304.2980784
Iraq,2012,1.6750800000000003
Kuwait,2012,25.754355
Oman,2012,50.48082
Qatar,2012,276.52410990000004
Saudi Arabia,2012,175.61691000000002
Syria,2012,13.48537113
United Arab Emirates,2012,99.568278
Yemen,2012,17.892900000000004
Other Middle East,2012,8.457229418737501
Total Middle East,2012,999.0478001020952
Algeria,2012,157.41945000000004
Egypt,2012,116.96543902575002
Libya,2012,14.951992500000001
Nigeria,2012,77.2438554589905
Other Africa,2012,35.46690835815
Total Africa,2012,402.04764534352506
Australia,2012,85.53792213
Bangladesh,2012,38.210506785877506
Brunei,2012,24.362439660000003
China,2012,195.46851150000003
India,2012,87.78881088
Indonesia,2012,144.42312219205502
Malaysia,2012,124.21112133258902
Myanmar,2012,24.314473618357503
Pakistan,2012,74.53047654000001
Thailand,2012,70.4522726083305
Vietnam,2012,16.14168
Other Asia Pacific,2012,34.993060534467
Total Asia Pacific,2012,920.4343977814651
