,Land-use change emissions,,,,,,,,,,,,,
,"All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide (CO2) per year, multiply the numbers below by 3.664.",,,,,,,,,,,,,
,1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2,,,,,,,,,,,,,
,"The data below represents the net flux of land-use change, based on the net balance between deforestation and forest regrowth along with other land-use changes",,,,,,,,,,,,,
,Cite individual estimates as:,,,,,,,,,,,,,
,Bookkeeping,"Houghton, RA, van der Werf, GR, DeFries, RS, Hansen, MC, House, JI, Le Quéré, C, Pongratz, J and Ramankutty, N 2012. Chapter G2 Carbon emissions from land use and land-cover change, Biogeosciences, 9, 5125-5142. Doi: 10.5194/bgd-9-835-2012    ",,,,,,,,,,,,
,GFED4 (deforestation regions only),"van der Werf, G. R., Randerson, J. T., Giglio, L., Collatz, G. J., Mu, M., Kasibhatla, P., Morton, D. C., DeFries, R. S., Jin, Y., and van Leeuwen, T. T.: Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997–2009), Atmospheric Chemistry and Physics, 10, 11707-11735, 2010.",,,,,,,,,,,,
,,"Giglio L, Randerson, Jt, Van Der Werf, Gr (2013) Analysis of daily, monthly, and annual burned area using the fourth-generation global fire emissions database (GFED4). JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES, 118.
",,,,,,,,,,,,
,CLM4.5-BGC,"Oleson, K, Lawrence, D, Bonan, G, Drewniak, B, Huang, M, Koven, C, Levis, S, Li, F, Riley, W, Subin, Z, Swenson, S, Thornton, P, Bozbiyik, A, Fisher, R, Heald, C, Kluzek, E, Lamarque, J, Lawrence, P, Leung, L, Lipscomb, W, Muszala, S, Ricciuto, D, Sacks, W, Tang, J and Yang, Z 2013. Technical Description of version 45 of the Community Land Model (CLM), NCAR.",,,,,,,,,,,,
,ISAM,"Jain, AK, Meiyappan, P, Song, Y and House, JI 2013. CO2 Emissions from Land-Use Change Affected More by Nitrogen Cycle, than by the Choice of Land Cover Data, Global Change Biology, 101111/gcb12207
Jain, AK, and Yang, X 2005. Modeling the effects of two different land cover change data sets on the carbon stocks of plants and soils in concert with CO2 and climate change Global BiogeochemCycles, 19(2), 1-20",,,,,,,,,,,,
,JULES,"Clarke, DB, Mercado, LM, Sitch, S, Jones, CD, Gedney, N, Best, MJ, Pryor, M, Rooney, GG, Essery, RLH, Blyth, E, Boucher, O, Cox, PM, and Harding, RJ 2011. The Joint UK Land Environment Simulator (JULES), model description - Part 2: Carbon fluxes and vegetation dynamics, Geoscientific Model Development, 9, 161-18.5",,,,,,,,,,,,
,LPJ-GUESS ,"Smith, B, Prentice, IC and Sykes MT 2001. Representation of vegetation dynamics in the modelling of terrestrial ecosystems: comparing two contrasting approaches within European climate space Global Ecology and Biogeography 10(6): 621-637",,,,,,,,,,,,
,LPJ ,"Sitch, S, Smith, B, Prentice, IC, Arneth, A, Bondeau, A, Cramer, W, Kaplan, JO, Levis, S, Lucht, W, Sykes, MT, Thonicke, K, Venevsky, S 2003. Evaluation of ecosystem dynamics, plant geography and terrestrial carbon cycling in the LPJ dynamic global vegetation model Global Change Biology 9(2): 161-185",,,,,,,,,,,,
,LPX,"Stocker, B D, Strassmann, K & Joos, F 2011. Sensitivity of Holocene atmospheric CO2 and the modern carbon budget to early human land use: analyses with a process-based model Biogeosciences 8, 69-88",,,,,,,,,,,,
,VISIT,"Kato, E, Kinoshita, T, Ito, A, Kawamiya, M, Yamagata, Y 2013. Evaluation of spatially explicit emission scenario of land-use change and biomass burning using a process-based biogeochemical model Journal of Land Use Science, 8(1): 104-122",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Land-use change emissions used,,,,,Individual model values,,,,,,,,Mean Model
Year,in the global carbon budget,,Bookkeeping ,GFED4       (in deforestation regions),,CLM4.5BGC,ISAM,JULES,LPJ-GUESS ,LPJ ,LPX,VISIT,,Ensemble
1959.0,1.4727759,,1.4727759,,,1.96338149282,2.1974766,0.30162,3.093602,3.00633587395,1.6991283,2.292,,2.0790777524
1960.0,1.4606345,,1.4606345,,,1.07961181905,2.538029,0.811465,3.09134,2.79790533399,1.80393736,1.733,,1.97932693043
1961.0,1.530231,,1.530231,,,1.4048865229,1.6604465,0.319622,2.776721,1.43921145487,1.3630328,1.693,,1.52241718254
1962.0,1.5198038,,1.5198038,,,1.47076885407,1.7305049,1.239561,1.339812,1.19600393793,1.14624443,1.861,,1.42627073172
1963.0,1.5262845,,1.5262845,,,0.854675048433,1.4834376,0.2981,1.476062,1.2374511968,0.84628148,1.659,,1.1221439036
1964.0,1.5173337,,1.5173337,,,1.18363766952,1.8876829,0.11739,1.305261,1.37438492052,1.07755487,1.576,,1.21741590858
1965.0,1.5484721,,1.5484721,,,1.15036460106,1.516358,0.128262,1.440874,1.00704578766,0.9873108,1.69,,1.13145931267
1966.0,1.5508256,,1.5508256,,,0.912793631572,1.6609996,0.204185,1.291419,1.35329403069,0.885290628,1.698,,1.14371169861
1967.0,1.594899,,1.594899,,,1.07076320757,1.6428853,0.10499,1.455592,1.57220657276,1.108961766,1.689,,1.2349141209
1968.0,1.5460563,,1.5460563,,,1.07058389696,1.7462103,0.3491,2.01583,1.65338962365,1.0953692,1.61,,1.3629261458
1969.0,1.5427741,,1.5427741,,,0.958404928014,1.5896448,0.316738,1.820251,1.55057914389,0.98982576,1.495,,1.2457776617
