Natural Gas: Prices,,,,,,
US dollars per million Btu,,,,,,
,LNG,,Natural gas,,,Crude oil
,Japan,Average German import ,UK,US,Canada,OECD
,cif,price cif *,(Heren NBP Index)* ,Henry Hub † ,(Alberta) ‡  ,countries cif
1984.0,5.1,3.99563467784,-,-,-,5.0
1985.0,5.23465346535,4.25358680256,-,-,-,4.75172413793
1986.0,4.10198019802,3.92861880926,-,-,-,2.57413793103
1987.0,3.35263841501,2.54750327145,-,-,-,3.09482758621
1988.0,3.34410863834,2.22035908876,-,-,-,2.56206896552
1989.0,3.27923063999,2.00051377489,-,1.69666666667,-,3.01206896552
1990.0,3.64457325269,2.77589313392,-,1.63833333333,1.05,3.82068965517
1991.0,3.98594202337,3.19009487066,-,1.48666666667,0.888333333333,3.3275862069
1992.0,3.62263492556,2.69056745084,-,1.77166666667,0.979166666667,3.18793103448
1993.0,3.52202233251,2.49530955346,-,2.12083333333,1.6925,2.8224137931
1994.0,3.17989428246,2.35253655521,-,1.92,1.4525,2.7
1995.0,3.46131229322,2.39327263034,-,1.68666666667,0.89,2.96379310345
1996.0,3.66324829404,2.46046641232,1.86597118974,2.75666666667,1.12083333333,3.53793103448
1997.0,3.90631461952,2.6410946036,1.95691760521,2.525,1.35833333333,3.29482758621
1998.0,3.04965363937,2.32055722114,1.86486239569,2.08416666667,1.4225,2.15862068966
1999.0,3.13739079301,1.87896842954,1.57906760797,2.26583333333,1.99583333333,2.97586206897
2000.0,4.72325074959,2.89110047154,2.71083600159,4.22583333333,3.7475,4.8275862069
2001.0,4.637662195,3.65978830285,3.17464486167,4.06833333333,3.61166666667,4.0775862069
2002.0,4.27340195926,3.22899751227,2.37260279016,3.33083333333,2.57166666667,4.17068965517
2003.0,4.76917907361,4.06023696717,3.33147408379,5.625,4.82916666667,4.89310344828
2004.0,5.18203318859,4.31508165387,4.45723570346,5.84916666667,5.03166666667,6.2724137931
2005.0,6.04770859181,5.87713657825,7.38307475,8.78583333333,7.25,8.73620689655
2006.0,7.1383083902,7.851238002,7.87210784762,6.76416666667,5.83333333333,10.6551724138
2007.0,7.73011011166,8.02534167786,6.00638274088,6.95,6.1675,11.9534482759
2008.0,12.5482546268,11.5617693302,10.7926546114,8.84916666667,7.99,16.7568965517
2009.0,9.05813818238,8.52238165948,4.85,3.89333333333,3.3825,10.4137931034
2010.0,10.9093905087,8.01230140303,6.55614754081,4.38884942713,3.68590502305,13.47
2011.0,14.7293088296,10.4823006476,9.04248007968,4.00903256677,3.47457457591,18.5534482759
2012.0,16.7481680366,11.0289476121,9.46448003924,2.7553715723,2.26845856355,18.8189655172
2013.0,16.1693871485,10.7242858792,10.6321251235,3.70729000485,2.92601483842,18.25
,,,,,,
* Source: 1984-1990 German Federal Statistical Office 1991-2013 German Federal Office of Economics and Export Control (BAFA).,,,,,,
†  Source: ICIS Heren Energy Ltd.,,,,,,
"‡  Source: Energy Intelligence Group, Natural Gas Week.",,,,,,
 Note: Btu = British thermal units; cif = cost+insurance+freight (average prices).,,,,,,
