Oil: Inter-area movements 2013,,,,,,,,,,,,,,,
,,,,,,,,To,,,,,,,
,US,Canada,Mexico,S. & Cent. America,Europe,Former Soviet Union,Middle East,Africa,Australasia,China,Indoia,Japan,Singapore,Other Asia Pacific,Total
Million tonnes,,,,,,,,,,,,,,,
From,,,,,,,,,,,,,,,
US,0.0,14.452,24.7336801487,52.6244561834,32.2549619822,0.0987202246415,3.60822714045,6.48947495034,0.312838243661,7.100079014,1.93289646134,5.655,5.902789158,1.51016211018,156.675285617
Canada,154.521503221,0.0,† ,1.10010792807,3.631234574,† ,0.111362112,† ,† ,1.630343501,0.105,0.612,† ,0.141012439,161.923260538
Mexico,45.6118005504,1.40827192366,0.0,1.98229872136,9.51601978518,0.0,† ,0.0,0.0,1.305991488,4.83814283765,0.0,1.557045,† ,66.2195703902
S. & Cent. America,83.7822728485,0.57141291,0.270113865355,0.0,18.1713770434,0.0763543829689,0.100658994534,0.302241362539,† ,30.577183614,31.4540942136,2.326455228,13.368123789,2.27356275168,183.297771521
Europe,23.8059944369,7.905953827,3.49824357798,9.27734591548,0.0,4.95965429442,12.3241052261,28.707268869,0.0817519143871,1.251833877,0.64082859644,1.321171383,8.20022300925,13.5445344762,115.518909403
Former Soviet Union,24.9778042802,0.269876224832,0.0,0.708682774267,295.009519926,0.0,13.4414698,1.7563099224,1.90746697396,43.408358944,2.071643784,14.357,7.734045894,19.0938619424,424.736040466
Middle East,100.113828876,6.333000343,0.296467103539,6.53827134282,102.603842001,0.42298909502,0.0,16.5173789583,7.71060827593,153.947156139,124.636158051,164.154,53.0298194642,227.227899708,963.531419358
North Africa,8.99265822604,3.120000228,0.0,4.5160135797,74.0638349251,0.144310553,1.223736631,0.0,1.02491925473,6.022499163,4.733743366,1.211629704,0.23750318,3.62359965366,108.914448464
West Africa,31.5043389793,4.166699331,0.0,14.274479946,72.9089106918,† ,0.0,0.0,5.87536028559,53.033462116,26.846862016,3.500280448,0.8417288675,8.51410353447,221.467226217
East & Southern Africa,† ,† ,† ,0.0966589318063,0.133008891,† ,† ,0.0,† ,5.871253254,0.346992035,0.540824903,0.35336735,0.12554056076,7.53254956775
Australasia,0.0822287266284,0.0,0.0,0.552484968704,0.080000461,† ,† ,† ,0.0,3.288182004,0.148185492247,1.974,1.554809597,6.78804946966,14.5009909533
China,0.324641368619,0.053,0.0,4.50130056613,0.6320607011,0.47244426105,1.058895478,1.118207637,0.0549490990384,0.0,0.561111292,0.453,4.28096007,16.696171606,30.206742079
India,2.89030144168,0.104,0.0,4.45391006758,8.25498960723,† ,17.390692047,8.464134111,† ,0.633514157,0.0,3.041,7.1373400233,6.72789533096,59.1291688888
Japan,0.812712975098,† ,0.0,0.221784952411,0.220602482187,† ,† ,0.090015499,3.52947561861,1.733927024,† ,0.0,3.33538367,5.36516650802,15.4103882803
Singapore,0.695150720839,† ,0.0,0.346435250054,1.20085069079,† ,1.386866875,2.892389406,10.5188652773,6.666652915,0.400749709,0.119,0.0,56.8969077562,81.1800302059
Other Asia Pacific,5.40620620477,† ,0.0,1.86249689287,4.08819472835,† ,1.15532106402,1.98694184312,19.4939139102,25.260582394,4.58196547756,24.428592095,38.498931557,0.0,126.836520266
Total imports,483.549227915,38.4403942085,28.8575002933,103.056728021,622.76940849,6.25452746272,51.8790763037,68.3573632692,50.5525716118,341.731019604,203.339373332,223.693953761,146.070710081,368.528467862,2737.08032222
,,,,,,,,,,,,,,,
Thousand barrels daily,,,,,,,,,,,,,,,
From,,,,,,,,,,,,,,,
US,0.0,297.602082192,517.035560369,1100.02332513,674.223451848,2.06365838634,75.4259536482,135.656695537,6.5394563265,148.420829799,40.4054794521,118.212739726,123.392534872,31.5685927632,3270.57036005
Canada,3125.00273973,0.0,‡,22.2504753183,73.6899246362,‡,2.32792579332,‡,‡,33.7485703568,2.11684931507,12.7933150685,0.776694536329,2.83184906732,3276.20847336
Mexico,918.668493151,28.4611868505,0.0,40.2569110462,191.169931576,0.0,‡,0.0,0.0,26.3993454212,97.1605123288,0.0,32.5486393151,‡,1334.66502144
S. & Cent. America,1690.0024959,11.5922753277,5.64648984208,0.0,367.966654387,1.54012900891,2.10418665286,6.24508456486,0.500037126657,617.309791688,631.669250513,47.0790503826,279.289743081,46.3697866797,3707.31497515
Europe,496.016661223,159.709938885,73.1276671233,192.680275884,0.0,103.67633358,257.518948803,598.099341306,1.67181470482,26.0037828754,13.0536331256,27.566952472,171.418360381,278.713393262,2399.25710362
Former Soviet Union,519.145205479,5.47970610415,0.0,14.8143823771,5989.06704449,0.0,273.120371189,36.3437406995,38.3062656991,877.397728974,41.7580630803,289.72139726,160.428855236,386.474465969,8632.05722655
