Alpha-3,Country name,CO2 emissions (% change 1990-2008)
CMR,Cameroon,205.0632911
LKA,Sri Lanka,211.7589893
BFA,Burkina Faso,216.25
HND,Honduras,234.5120226
TCD,Chad,237.5
SLE,Sierra Leone,243.3962264
CPV,Cape Verde,250
MYS,Malaysia,268.0101082
KNA,St. Kitts and Nevis,277.7777778
OMN,Oman,341.9411973
GIB,Gibraltar,342.3076923
UGA,Uganda,358.2959641
AGO,Angola,450.1655629
NPL,Nepal,458.3815029
BEN,Benin,468.7179487
BTN,Bhutan,471.4285714
QAT,Qatar,481.5633759
VNM,Vietnam,495.0325454
MDV,Maldives,497.6190476
SYC,Seychelles,500
LAO,Lao PDR,553.125
KHM,Cambodia,920.3252033
SOM,Somalia,3440
GNQ,Equatorial Guinea,3878.787879
NAM,Namibia,54000
ASM,American Samoa,
AND,Andorra,
ARM,Armenia,
AZE,Azerbaijan,
BLR,Belarus,
BIH,Bosnia and Herzegovina,
CHI,Channel Islands
HRV,Croatia
CUW,Curacao
CZE,Czech Republic
ERI,Eritrea
EST,Estonia
GEO,Georgia
DEU,Germany
GUM,Guam
IMN,Isle of Man
KAZ,Kazakhstan
KSV,Kosovo
KGZ,Kyrgyz Republic
LVA,Latvia
LSO,Lesotho
LIE,Liechtenstein
LTU,Lithuania
MKD,"Macedonia, FYR"
MYT,Mayotte
FSM,"Micronesia, Fed. Sts."
MDA,Moldova
MCO,Monaco
MNE,Montenegro
MNP,Northern Mariana Islands
PRI,Puerto Rico
RUS,Russian Federation
SMR,San Marino
SRB,Serbia
SXM,Sint Maarten (Dutch part)
SVK,Slovak Republic
SVN,Slovenia
SSD,South Sudan
MAF,St. Martin (French part)
TJK,Tajikistan
TLS,Timor-Leste
TKM,Turkmenistan
TCA,Turks and Caicos Islands
TUV,Tuvalu
UKR,Ukraine
UZB,Uzbekistan
VIR,Virgin Islands (U.S.)
PSE,West Bank and Gaza
